Timestamp,OCC
4/4/2018 1:30:00 PM,38.0
4/4/2018 1:40:00 PM,26.0
4/4/2018 1:50:00 PM,11.0
4/4/2018 2:00:00 PM,5.0
4/4/2018 2:10:00 PM,2.0
4/4/2018 2:20:00 PM,2.0
4/4/2018 2:30:00 PM,3.0
4/4/2018 2:40:00 PM,2.0
4/4/2018 2:50:00 PM,2.0
4/4/2018 3:00:00 PM,0.0
4/4/2018 3:10:00 PM,0.0
4/4/2018 3:20:00 PM,0.0
4/4/2018 3:30:00 PM,0.0
4/4/2018 3:40:00 PM,0.0
4/4/2018 3:50:00 PM,0.0
4/4/2018 4:00:00 PM,0.0
4/4/2018 4:10:00 PM,0.0
4/4/2018 4:20:00 PM,1.0
4/4/2018 4:30:00 PM,1.0
4/4/2018 4:40:00 PM,1.0
4/4/2018 4:50:00 PM,1.0
4/4/2018 5:00:00 PM,1.0
4/4/2018 5:10:00 PM,0.0
4/4/2018 5:20:00 PM,0.0
4/4/2018 5:30:00 PM,0.0
4/4/2018 5:40:00 PM,0.0
4/4/2018 5:50:00 PM,0.0
4/4/2018 6:00:00 PM,0.0
4/4/2018 6:10:00 PM,0.0
4/4/2018 6:20:00 PM,0.0
4/4/2018 6:30:00 PM,0.0
4/4/2018 6:40:00 PM,0.0
4/4/2018 6:50:00 PM,0.0
4/4/2018 7:00:00 PM,0.0
4/4/2018 7:10:00 PM,0.0
4/4/2018 7:20:00 PM,0.0
4/4/2018 7:30:00 PM,0.0
4/4/2018 7:40:00 PM,0.0
4/4/2018 7:50:00 PM,0.0
4/4/2018 8:00:00 PM,0.0
4/4/2018 8:10:00 PM,0.0
4/4/2018 8:20:00 PM,0.0
4/4/2018 8:30:00 PM,0.0
4/4/2018 8:40:00 PM,0.0
4/4/2018 8:50:00 PM,0.0
4/4/2018 9:00:00 PM,0.0
4/4/2018 9:10:00 PM,0.0
4/4/2018 9:20:00 PM,0.0
4/4/2018 9:30:00 PM,0.0
4/4/2018 9:40:00 PM,0.0
4/4/2018 9:50:00 PM,0.0
4/4/2018 10:00:00 PM,0.0
4/4/2018 10:10:00 PM,0.0
4/4/2018 10:20:00 PM,0.0
4/4/2018 10:30:00 PM,0.0
4/4/2018 10:40:00 PM,0.0
4/4/2018 10:50:00 PM,0.0
4/4/2018 11:00:00 PM,0.0
4/4/2018 11:10:00 PM,0.0
4/4/2018 11:20:00 PM,0.0
4/4/2018 11:30:00 PM,0.0
4/4/2018 11:40:00 PM,0.0
4/4/2018 11:50:00 PM,0.0
4/5/2018 12:00:00 AM,0.0
4/5/2018 12:10:00 AM,0.0
4/5/2018 12:20:00 AM,0.0
4/5/2018 12:30:00 AM,0.0
4/5/2018 12:40:00 AM,0.0
4/5/2018 12:50:00 AM,0.0
4/5/2018 1:00:00 AM,0.0
4/5/2018 1:10:00 AM,0.0
4/5/2018 1:20:00 AM,0.0
4/5/2018 1:30:00 AM,0.0
4/5/2018 1:40:00 AM,0.0
4/5/2018 1:50:00 AM,0.0
4/5/2018 2:00:00 AM,0.0
4/5/2018 2:10:00 AM,0.0
4/5/2018 2:20:00 AM,0.0
4/5/2018 2:30:00 AM,0.0
4/5/2018 2:40:00 AM,0.0
4/5/2018 2:50:00 AM,0.0
4/5/2018 3:00:00 AM,0.0
4/5/2018 3:10:00 AM,0.0
4/5/2018 3:20:00 AM,0.0
4/5/2018 3:30:00 AM,0.0
4/5/2018 3:40:00 AM,0.0
4/5/2018 3:50:00 AM,0.0
4/5/2018 4:00:00 AM,0.0
4/5/2018 4:10:00 AM,0.0
4/5/2018 4:20:00 AM,0.0
4/5/2018 4:30:00 AM,0.0
4/5/2018 4:40:00 AM,0.0
4/5/2018 4:50:00 AM,0.0
4/5/2018 5:00:00 AM,0.0
4/5/2018 5:10:00 AM,0.0
4/5/2018 5:20:00 AM,2.0
4/5/2018 5:30:00 AM,0.0
4/5/2018 5:40:00 AM,0.0
4/5/2018 5:50:00 AM,1.0
4/5/2018 6:00:00 AM,7.0
4/5/2018 6:10:00 AM,30.0
4/5/2018 6:20:00 AM,35.0
4/5/2018 6:30:00 AM,36.0
4/5/2018 6:40:00 AM,36.0
4/5/2018 6:50:00 AM,36.0
4/5/2018 7:00:00 AM,36.0
4/5/2018 7:10:00 AM,21.0
4/5/2018 7:20:00 AM,28.0
4/5/2018 7:30:00 AM,34.0
4/5/2018 7:40:00 AM,34.0
4/5/2018 7:50:00 AM,34.0
4/5/2018 8:00:00 AM,34.0
4/5/2018 8:10:00 AM,34.0
4/5/2018 8:20:00 AM,35.0
4/5/2018 8:30:00 AM,27.0
4/5/2018 8:40:00 AM,27.0
4/5/2018 8:50:00 AM,24.0
4/5/2018 9:00:00 AM,25.0
4/5/2018 9:10:00 AM,19.0
4/5/2018 9:20:00 AM,20.0
4/5/2018 9:30:00 AM,15.0
4/5/2018 9:40:00 AM,13.0
4/5/2018 9:50:00 AM,14.0
4/5/2018 10:00:00 AM,29.0
4/5/2018 10:10:00 AM,53.0
4/5/2018 10:20:00 AM,56.0
4/5/2018 10:30:00 AM,56.0
4/5/2018 10:40:00 AM,58.0
4/5/2018 10:50:00 AM,58.0
4/5/2018 11:00:00 AM,58.0
4/5/2018 11:10:00 AM,57.0
4/5/2018 11:20:00 AM,44.0
4/5/2018 11:30:00 AM,57.0
4/5/2018 11:40:00 AM,57.0
4/5/2018 11:50:00 AM,57.0
4/5/2018 12:00:00 PM,57.0
4/5/2018 12:10:00 PM,39.0
4/5/2018 12:20:00 PM,32.0
4/5/2018 12:30:00 PM,27.0
4/5/2018 12:40:00 PM,25.0
4/5/2018 12:50:00 PM,20.0
4/5/2018 1:00:00 PM,20.0
4/5/2018 1:10:00 PM,17.0
4/5/2018 1:20:00 PM,13.0
4/5/2018 1:30:00 PM,12.0
4/5/2018 1:40:00 PM,10.0
4/5/2018 1:50:00 PM,10.0
4/5/2018 2:00:00 PM,8.0
4/5/2018 2:10:00 PM,4.0
4/5/2018 2:20:00 PM,3.0
4/5/2018 2:30:00 PM,3.0
4/5/2018 2:40:00 PM,3.0
4/5/2018 2:50:00 PM,3.0
4/5/2018 3:00:00 PM,3.0
4/5/2018 3:10:00 PM,3.0
4/5/2018 3:20:00 PM,3.0
4/5/2018 3:30:00 PM,3.0
4/5/2018 3:40:00 PM,3.0
4/5/2018 3:50:00 PM,3.0
4/5/2018 4:00:00 PM,0.0
4/5/2018 4:10:00 PM,0.0
4/5/2018 4:20:00 PM,0.0
4/5/2018 4:30:00 PM,0.0
4/5/2018 4:40:00 PM,0.0
4/5/2018 4:50:00 PM,0.0
4/5/2018 5:00:00 PM,0.0
4/5/2018 5:10:00 PM,0.0
4/5/2018 5:20:00 PM,0.0
4/5/2018 5:30:00 PM,0.0
4/5/2018 5:40:00 PM,0.0
4/5/2018 5:50:00 PM,0.0
4/5/2018 6:00:00 PM,0.0
4/5/2018 6:10:00 PM,0.0
4/5/2018 6:20:00 PM,0.0
4/5/2018 6:30:00 PM,0.0
4/5/2018 6:40:00 PM,0.0
4/5/2018 6:50:00 PM,0.0
4/5/2018 7:00:00 PM,0.0
4/5/2018 7:10:00 PM,0.0
4/5/2018 7:20:00 PM,0.0
4/5/2018 7:30:00 PM,0.0
4/5/2018 7:40:00 PM,0.0
4/5/2018 7:50:00 PM,0.0
4/5/2018 8:00:00 PM,0.0
4/5/2018 8:10:00 PM,0.0
4/5/2018 8:20:00 PM,0.0
4/5/2018 8:30:00 PM,0.0
4/5/2018 8:40:00 PM,0.0
4/5/2018 8:50:00 PM,0.0
4/5/2018 9:00:00 PM,0.0
4/5/2018 9:10:00 PM,0.0
4/5/2018 9:20:00 PM,0.0
4/5/2018 9:30:00 PM,0.0
4/5/2018 9:40:00 PM,0.0
4/5/2018 9:50:00 PM,0.0
4/5/2018 10:00:00 PM,0.0
4/5/2018 10:10:00 PM,0.0
4/5/2018 10:20:00 PM,0.0
4/5/2018 10:30:00 PM,0.0
4/5/2018 10:40:00 PM,0.0
4/5/2018 10:50:00 PM,0.0
4/5/2018 11:00:00 PM,0.0
4/5/2018 11:10:00 PM,0.0
4/5/2018 11:20:00 PM,0.0
4/5/2018 11:30:00 PM,0.0
4/5/2018 11:40:00 PM,0.0
4/5/2018 11:50:00 PM,0.0
4/6/2018 12:00:00 AM,0.0
4/6/2018 12:10:00 AM,0.0
4/6/2018 12:20:00 AM,0.0
4/6/2018 12:30:00 AM,0.0
4/6/2018 12:40:00 AM,0.0
4/6/2018 12:50:00 AM,0.0
4/6/2018 1:00:00 AM,0.0
4/6/2018 1:10:00 AM,0.0
4/6/2018 1:20:00 AM,0.0
4/6/2018 1:30:00 AM,0.0
4/6/2018 1:40:00 AM,0.0
4/6/2018 1:50:00 AM,0.0
4/6/2018 2:00:00 AM,0.0
4/6/2018 2:10:00 AM,0.0
4/6/2018 2:20:00 AM,0.0
4/6/2018 2:30:00 AM,0.0
4/6/2018 2:40:00 AM,0.0
4/6/2018 2:50:00 AM,0.0
4/6/2018 3:00:00 AM,0.0
4/6/2018 3:10:00 AM,0.0
4/6/2018 3:20:00 AM,0.0
4/6/2018 3:30:00 AM,0.0
4/6/2018 3:40:00 AM,0.0
4/6/2018 3:50:00 AM,2.0
4/6/2018 4:00:00 AM,2.0
4/6/2018 4:10:00 AM,0.0
4/6/2018 4:20:00 AM,2.0
4/6/2018 4:30:00 AM,2.0
4/6/2018 4:40:00 AM,2.0
4/6/2018 4:50:00 AM,2.0
4/6/2018 5:00:00 AM,2.0
4/6/2018 5:10:00 AM,2.0
4/6/2018 5:20:00 AM,2.0
4/6/2018 5:30:00 AM,4.0
4/6/2018 5:40:00 AM,4.0
4/6/2018 5:50:00 AM,4.0
4/6/2018 6:00:00 AM,3.0
4/6/2018 6:10:00 AM,8.0
4/6/2018 6:20:00 AM,20.0
4/6/2018 6:30:00 AM,41.0
4/6/2018 6:40:00 AM,45.0
4/6/2018 6:50:00 AM,48.0
4/6/2018 7:00:00 AM,47.0
4/6/2018 7:10:00 AM,48.0
4/6/2018 7:20:00 AM,29.0
4/6/2018 7:30:00 AM,44.0
4/6/2018 7:40:00 AM,45.0
4/6/2018 7:50:00 AM,44.0
4/6/2018 8:00:00 AM,43.0
4/6/2018 8:10:00 AM,43.0
4/6/2018 8:20:00 AM,36.0
4/6/2018 8:30:00 AM,34.0
4/6/2018 8:40:00 AM,37.0
4/6/2018 8:50:00 AM,33.0
4/6/2018 9:00:00 AM,30.0
4/6/2018 9:10:00 AM,31.0
4/6/2018 9:20:00 AM,36.0
4/6/2018 9:30:00 AM,33.0
4/6/2018 9:40:00 AM,35.0
4/6/2018 9:50:00 AM,33.0
4/6/2018 10:00:00 AM,27.0
4/6/2018 10:10:00 AM,29.0
4/6/2018 10:20:00 AM,27.0
4/6/2018 10:30:00 AM,30.0
4/6/2018 10:40:00 AM,31.0
4/6/2018 10:50:00 AM,28.0
4/6/2018 11:00:00 AM,26.0
4/6/2018 11:10:00 AM,26.0
4/6/2018 11:20:00 AM,24.0
4/6/2018 11:30:00 AM,23.0
4/6/2018 11:40:00 AM,27.0
4/6/2018 11:50:00 AM,22.0
4/6/2018 12:00:00 PM,19.0
4/6/2018 12:10:00 PM,12.0
4/6/2018 12:20:00 PM,8.0
4/6/2018 12:30:00 PM,5.0
4/6/2018 12:40:00 PM,4.0
4/6/2018 12:50:00 PM,3.0
4/6/2018 1:00:00 PM,4.0
4/6/2018 1:10:00 PM,4.0
4/6/2018 1:20:00 PM,3.0
4/6/2018 1:30:00 PM,3.0
4/6/2018 1:40:00 PM,1.0
4/6/2018 1:50:00 PM,1.0
4/6/2018 2:00:00 PM,1.0
4/6/2018 2:10:00 PM,1.0
4/6/2018 2:20:00 PM,1.0
4/6/2018 2:30:00 PM,1.0
4/6/2018 2:40:00 PM,0.0
4/6/2018 2:50:00 PM,0.0
4/6/2018 3:00:00 PM,0.0
4/6/2018 3:10:00 PM,0.0
4/6/2018 3:20:00 PM,0.0
4/6/2018 3:30:00 PM,0.0
4/6/2018 3:40:00 PM,0.0
4/6/2018 3:50:00 PM,0.0
4/6/2018 4:00:00 PM,0.0
4/6/2018 4:10:00 PM,0.0
4/6/2018 4:20:00 PM,0.0
4/6/2018 4:30:00 PM,0.0
4/6/2018 4:40:00 PM,0.0
4/6/2018 4:50:00 PM,0.0
4/6/2018 5:00:00 PM,0.0
4/6/2018 5:10:00 PM,0.0
4/6/2018 5:20:00 PM,0.0
4/6/2018 5:30:00 PM,0.0
4/6/2018 5:40:00 PM,0.0
4/6/2018 5:50:00 PM,0.0
4/6/2018 6:00:00 PM,0.0
4/6/2018 6:10:00 PM,0.0
4/6/2018 6:20:00 PM,0.0
4/6/2018 6:30:00 PM,0.0
4/6/2018 6:40:00 PM,0.0
4/6/2018 6:50:00 PM,0.0
4/6/2018 7:00:00 PM,0.0
4/6/2018 7:10:00 PM,0.0
4/6/2018 7:20:00 PM,0.0
4/6/2018 7:30:00 PM,0.0
4/6/2018 7:40:00 PM,0.0
4/6/2018 7:50:00 PM,0.0
4/6/2018 8:00:00 PM,0.0
4/6/2018 8:10:00 PM,0.0
4/6/2018 8:20:00 PM,0.0
4/6/2018 8:30:00 PM,0.0
4/6/2018 8:40:00 PM,0.0
4/6/2018 8:50:00 PM,0.0
4/6/2018 9:00:00 PM,0.0
4/6/2018 9:10:00 PM,0.0
4/6/2018 9:20:00 PM,0.0
4/6/2018 9:30:00 PM,0.0
4/6/2018 9:40:00 PM,0.0
4/6/2018 9:50:00 PM,0.0
4/6/2018 10:00:00 PM,0.0
4/6/2018 10:10:00 PM,0.0
4/6/2018 10:20:00 PM,0.0
4/6/2018 10:30:00 PM,0.0
4/6/2018 10:40:00 PM,0.0
4/6/2018 10:50:00 PM,0.0
4/6/2018 11:00:00 PM,0.0
4/6/2018 11:10:00 PM,0.0
4/6/2018 11:20:00 PM,0.0
4/6/2018 11:30:00 PM,0.0
4/6/2018 11:40:00 PM,0.0
4/6/2018 11:50:00 PM,0.0
4/7/2018 12:00:00 AM,0.0
4/7/2018 12:10:00 AM,0.0
4/7/2018 12:20:00 AM,1.0
4/7/2018 12:30:00 AM,1.0
4/7/2018 12:40:00 AM,1.0
4/7/2018 12:50:00 AM,1.0
4/7/2018 1:00:00 AM,1.0
4/7/2018 1:10:00 AM,1.0
4/7/2018 1:20:00 AM,1.0
4/7/2018 1:30:00 AM,1.0
4/7/2018 1:40:00 AM,1.0
4/7/2018 1:50:00 AM,1.0
4/7/2018 2:00:00 AM,1.0
4/7/2018 2:10:00 AM,1.0
4/7/2018 2:20:00 AM,1.0
4/7/2018 2:30:00 AM,1.0
4/7/2018 2:40:00 AM,1.0
4/7/2018 2:50:00 AM,1.0
4/7/2018 3:00:00 AM,1.0
4/7/2018 3:10:00 AM,1.0
4/7/2018 3:20:00 AM,1.0
4/7/2018 3:30:00 AM,1.0
4/7/2018 3:40:00 AM,1.0
4/7/2018 3:50:00 AM,1.0
4/7/2018 4:00:00 AM,2.0
4/7/2018 4:10:00 AM,0.0
4/7/2018 4:20:00 AM,0.0
4/7/2018 4:30:00 AM,0.0
4/7/2018 4:40:00 AM,0.0
4/7/2018 4:50:00 AM,0.0
4/7/2018 5:00:00 AM,0.0
4/7/2018 5:10:00 AM,0.0
4/7/2018 5:20:00 AM,0.0
4/7/2018 5:30:00 AM,0.0
4/7/2018 5:40:00 AM,0.0
4/7/2018 5:50:00 AM,0.0
4/7/2018 6:00:00 AM,0.0
4/7/2018 6:10:00 AM,0.0
4/7/2018 6:20:00 AM,0.0
4/7/2018 6:30:00 AM,0.0
4/7/2018 6:40:00 AM,0.0
4/7/2018 6:50:00 AM,0.0
4/7/2018 7:00:00 AM,0.0
4/7/2018 7:10:00 AM,0.0
4/7/2018 7:20:00 AM,0.0
4/7/2018 7:30:00 AM,0.0
4/7/2018 7:40:00 AM,0.0
4/7/2018 7:50:00 AM,0.0
4/7/2018 8:00:00 AM,0.0
4/7/2018 8:10:00 AM,0.0
4/7/2018 8:20:00 AM,0.0
4/7/2018 8:30:00 AM,0.0
4/7/2018 8:40:00 AM,0.0
4/7/2018 8:50:00 AM,0.0
4/7/2018 9:00:00 AM,4.0
4/7/2018 9:10:00 AM,23.0
4/7/2018 9:20:00 AM,30.0
4/7/2018 9:30:00 AM,30.0
4/7/2018 9:40:00 AM,36.0
4/7/2018 9:50:00 AM,41.0
4/7/2018 10:00:00 AM,39.0
4/7/2018 10:10:00 AM,36.0
4/7/2018 10:20:00 AM,38.0
4/7/2018 10:30:00 AM,38.0
4/7/2018 10:40:00 AM,39.0
4/7/2018 10:50:00 AM,39.0
4/7/2018 11:00:00 AM,37.0
4/7/2018 11:10:00 AM,37.0
4/7/2018 11:20:00 AM,37.0
4/7/2018 11:30:00 AM,37.0
4/7/2018 11:40:00 AM,39.0
4/7/2018 11:50:00 AM,37.0
4/7/2018 12:00:00 PM,39.0
4/7/2018 12:10:00 PM,37.0
4/7/2018 12:20:00 PM,39.0
4/7/2018 12:30:00 PM,39.0
4/7/2018 12:40:00 PM,38.0
4/7/2018 12:50:00 PM,39.0
4/7/2018 1:00:00 PM,38.0
4/7/2018 1:10:00 PM,39.0
4/7/2018 1:20:00 PM,39.0
4/7/2018 1:30:00 PM,36.0
4/7/2018 1:40:00 PM,38.0
4/7/2018 1:50:00 PM,39.0
4/7/2018 2:00:00 PM,5.0
4/7/2018 2:10:00 PM,0.0
4/7/2018 2:20:00 PM,0.0
4/7/2018 2:30:00 PM,0.0
4/7/2018 2:40:00 PM,0.0
4/7/2018 2:50:00 PM,0.0
4/7/2018 3:00:00 PM,0.0
4/7/2018 3:10:00 PM,0.0
4/7/2018 3:20:00 PM,0.0
4/7/2018 3:30:00 PM,0.0
4/7/2018 3:40:00 PM,0.0
4/7/2018 3:50:00 PM,0.0
4/7/2018 4:00:00 PM,0.0
4/7/2018 4:10:00 PM,0.0
4/7/2018 4:20:00 PM,0.0
4/7/2018 4:30:00 PM,0.0
4/7/2018 4:40:00 PM,0.0
4/7/2018 4:50:00 PM,0.0
4/7/2018 5:00:00 PM,0.0
4/7/2018 5:10:00 PM,0.0
4/7/2018 5:20:00 PM,0.0
4/7/2018 5:30:00 PM,0.0
4/7/2018 5:40:00 PM,0.0
4/7/2018 5:50:00 PM,0.0
4/7/2018 6:00:00 PM,0.0
4/7/2018 6:10:00 PM,0.0
4/7/2018 6:20:00 PM,0.0
4/7/2018 6:30:00 PM,0.0
4/7/2018 6:40:00 PM,0.0
4/7/2018 6:50:00 PM,0.0
4/7/2018 7:00:00 PM,0.0
4/7/2018 7:10:00 PM,0.0
4/7/2018 7:20:00 PM,0.0
4/7/2018 7:30:00 PM,0.0
4/7/2018 7:40:00 PM,0.0
4/7/2018 7:50:00 PM,0.0
4/7/2018 8:00:00 PM,0.0
4/7/2018 8:10:00 PM,0.0
4/7/2018 8:20:00 PM,0.0
4/7/2018 8:30:00 PM,0.0
4/7/2018 8:40:00 PM,0.0
4/7/2018 8:50:00 PM,0.0
4/7/2018 9:00:00 PM,0.0
4/7/2018 9:10:00 PM,0.0
4/7/2018 9:20:00 PM,0.0
4/7/2018 9:30:00 PM,0.0
4/7/2018 9:40:00 PM,0.0
4/7/2018 9:50:00 PM,0.0
4/7/2018 10:00:00 PM,0.0
4/7/2018 10:10:00 PM,0.0
4/7/2018 10:20:00 PM,0.0
4/7/2018 10:30:00 PM,0.0
4/7/2018 10:40:00 PM,0.0
4/7/2018 10:50:00 PM,0.0
4/7/2018 11:00:00 PM,0.0
4/7/2018 11:10:00 PM,0.0
4/7/2018 11:20:00 PM,0.0
4/7/2018 11:30:00 PM,0.0
4/7/2018 11:40:00 PM,0.0
4/7/2018 11:50:00 PM,0.0
4/8/2018 12:00:00 AM,0.0
4/8/2018 12:10:00 AM,0.0
4/8/2018 12:20:00 AM,0.0
4/8/2018 12:30:00 AM,0.0
4/8/2018 12:40:00 AM,0.0
4/8/2018 12:50:00 AM,0.0
4/8/2018 1:00:00 AM,0.0
4/8/2018 1:10:00 AM,0.0
4/8/2018 1:20:00 AM,0.0
4/8/2018 1:30:00 AM,0.0
4/8/2018 1:40:00 AM,0.0
4/8/2018 1:50:00 AM,0.0
4/8/2018 2:00:00 AM,0.0
4/8/2018 2:10:00 AM,0.0
4/8/2018 2:20:00 AM,0.0
4/8/2018 2:30:00 AM,0.0
4/8/2018 2:40:00 AM,0.0
4/8/2018 2:50:00 AM,0.0
4/8/2018 3:00:00 AM,0.0
4/8/2018 3:10:00 AM,0.0
4/8/2018 3:20:00 AM,0.0
4/8/2018 3:30:00 AM,0.0
4/8/2018 3:40:00 AM,0.0
4/8/2018 3:50:00 AM,0.0
4/8/2018 4:00:00 AM,0.0
4/8/2018 4:10:00 AM,0.0
4/8/2018 4:20:00 AM,0.0
4/8/2018 4:30:00 AM,0.0
4/8/2018 4:40:00 AM,0.0
4/8/2018 4:50:00 AM,0.0
4/8/2018 5:00:00 AM,0.0
4/8/2018 5:10:00 AM,0.0
4/8/2018 5:20:00 AM,0.0
4/8/2018 5:30:00 AM,0.0
4/8/2018 5:40:00 AM,0.0
4/8/2018 5:50:00 AM,0.0
4/8/2018 6:00:00 AM,0.0
4/8/2018 6:10:00 AM,0.0
4/8/2018 6:20:00 AM,0.0
4/8/2018 6:30:00 AM,0.0
4/8/2018 6:40:00 AM,0.0
4/8/2018 6:50:00 AM,0.0
4/8/2018 7:00:00 AM,0.0
4/8/2018 7:10:00 AM,0.0
4/8/2018 7:20:00 AM,0.0
4/8/2018 7:30:00 AM,0.0
4/8/2018 7:40:00 AM,0.0
4/8/2018 7:50:00 AM,0.0
4/8/2018 8:00:00 AM,0.0
4/8/2018 8:10:00 AM,0.0
4/8/2018 8:20:00 AM,1.0
4/8/2018 8:30:00 AM,0.0
4/8/2018 8:40:00 AM,0.0
4/8/2018 8:50:00 AM,0.0
4/8/2018 9:00:00 AM,0.0
4/8/2018 9:10:00 AM,0.0
4/8/2018 9:20:00 AM,0.0
4/8/2018 9:30:00 AM,1.0
4/8/2018 9:40:00 AM,1.0
4/8/2018 9:50:00 AM,1.0
4/8/2018 10:00:00 AM,1.0
4/8/2018 10:10:00 AM,1.0
4/8/2018 10:20:00 AM,1.0
4/8/2018 10:30:00 AM,1.0
4/8/2018 10:40:00 AM,0.0
4/8/2018 10:50:00 AM,1.0
4/8/2018 11:00:00 AM,1.0
4/8/2018 11:10:00 AM,1.0
4/8/2018 11:20:00 AM,1.0
4/8/2018 11:30:00 AM,1.0
4/8/2018 11:40:00 AM,1.0
4/8/2018 11:50:00 AM,1.0
4/8/2018 12:00:00 PM,1.0
4/8/2018 12:10:00 PM,1.0
4/8/2018 12:20:00 PM,0.0
4/8/2018 12:30:00 PM,0.0
4/8/2018 12:40:00 PM,1.0
4/8/2018 12:50:00 PM,1.0
4/8/2018 1:00:00 PM,1.0
4/8/2018 1:10:00 PM,1.0
4/8/2018 1:20:00 PM,1.0
4/8/2018 1:30:00 PM,1.0
4/8/2018 1:40:00 PM,1.0
4/8/2018 1:50:00 PM,1.0
4/8/2018 2:00:00 PM,1.0
4/8/2018 2:10:00 PM,1.0
4/8/2018 2:20:00 PM,1.0
4/8/2018 2:30:00 PM,1.0
4/8/2018 2:40:00 PM,1.0
4/8/2018 2:50:00 PM,1.0
4/8/2018 3:00:00 PM,1.0
4/8/2018 3:10:00 PM,1.0
4/8/2018 3:20:00 PM,1.0
4/8/2018 3:30:00 PM,1.0
4/8/2018 3:40:00 PM,1.0
4/8/2018 3:50:00 PM,1.0
4/8/2018 4:00:00 PM,1.0
4/8/2018 4:10:00 PM,1.0
4/8/2018 4:20:00 PM,1.0
4/8/2018 4:30:00 PM,1.0
4/8/2018 4:40:00 PM,0.0
4/8/2018 4:50:00 PM,0.0
4/8/2018 5:00:00 PM,0.0
4/8/2018 5:10:00 PM,0.0
4/8/2018 5:20:00 PM,0.0
4/8/2018 5:30:00 PM,0.0
4/8/2018 5:40:00 PM,0.0
4/8/2018 5:50:00 PM,0.0
4/8/2018 6:00:00 PM,0.0
4/8/2018 6:10:00 PM,0.0
4/8/2018 6:20:00 PM,0.0
4/8/2018 6:30:00 PM,0.0
4/8/2018 6:40:00 PM,0.0
4/8/2018 6:50:00 PM,0.0
4/8/2018 7:00:00 PM,0.0
4/8/2018 7:10:00 PM,0.0
4/8/2018 7:20:00 PM,0.0
4/8/2018 7:30:00 PM,0.0
4/8/2018 7:40:00 PM,0.0
4/8/2018 7:50:00 PM,0.0
4/8/2018 8:00:00 PM,0.0
4/8/2018 8:10:00 PM,0.0
4/8/2018 8:20:00 PM,0.0
4/8/2018 8:30:00 PM,0.0
4/8/2018 8:40:00 PM,0.0
4/8/2018 8:50:00 PM,0.0
4/8/2018 9:00:00 PM,0.0
4/8/2018 9:10:00 PM,0.0
4/8/2018 9:20:00 PM,0.0
4/8/2018 9:30:00 PM,0.0
4/8/2018 9:40:00 PM,0.0
4/8/2018 9:50:00 PM,0.0
4/8/2018 10:00:00 PM,0.0
4/8/2018 10:10:00 PM,0.0
4/8/2018 10:20:00 PM,0.0
4/8/2018 10:30:00 PM,0.0
4/8/2018 10:40:00 PM,0.0
4/8/2018 10:50:00 PM,0.0
4/8/2018 11:00:00 PM,0.0
4/8/2018 11:10:00 PM,0.0
4/8/2018 11:20:00 PM,0.0
4/8/2018 11:30:00 PM,0.0
4/8/2018 11:40:00 PM,0.0
4/8/2018 11:50:00 PM,0.0
4/9/2018 12:00:00 AM,0.0
4/9/2018 12:10:00 AM,0.0
4/9/2018 12:20:00 AM,0.0
4/9/2018 12:30:00 AM,0.0
4/9/2018 12:40:00 AM,0.0
4/9/2018 12:50:00 AM,0.0
4/9/2018 1:00:00 AM,0.0
4/9/2018 1:10:00 AM,0.0
4/9/2018 1:20:00 AM,0.0
4/9/2018 1:30:00 AM,0.0
4/9/2018 1:40:00 AM,0.0
4/9/2018 1:50:00 AM,0.0
4/9/2018 2:00:00 AM,0.0
4/9/2018 2:10:00 AM,0.0
4/9/2018 2:20:00 AM,0.0
4/9/2018 2:30:00 AM,0.0
4/9/2018 2:40:00 AM,0.0
4/9/2018 2:50:00 AM,0.0
4/9/2018 3:00:00 AM,0.0
4/9/2018 3:10:00 AM,0.0
4/9/2018 3:20:00 AM,0.0
4/9/2018 3:30:00 AM,0.0
4/9/2018 3:40:00 AM,0.0
4/9/2018 3:50:00 AM,0.0
4/9/2018 4:00:00 AM,0.0
4/9/2018 4:10:00 AM,0.0
4/9/2018 4:20:00 AM,0.0
4/9/2018 4:30:00 AM,0.0
4/9/2018 4:40:00 AM,0.0
4/9/2018 4:50:00 AM,0.0
4/9/2018 5:00:00 AM,0.0
4/9/2018 5:10:00 AM,0.0
4/9/2018 5:20:00 AM,2.0
4/9/2018 5:30:00 AM,0.0
4/9/2018 5:40:00 AM,0.0
4/9/2018 5:50:00 AM,0.0
4/9/2018 6:00:00 AM,0.0
4/9/2018 6:10:00 AM,0.0
4/9/2018 6:20:00 AM,0.0
4/9/2018 6:30:00 AM,0.0
4/9/2018 6:40:00 AM,0.0
4/9/2018 6:50:00 AM,0.0
4/9/2018 7:00:00 AM,0.0
4/9/2018 7:10:00 AM,0.0
4/9/2018 7:20:00 AM,0.0
4/9/2018 7:30:00 AM,1.0
4/9/2018 7:40:00 AM,6.0
4/9/2018 7:50:00 AM,9.0
4/9/2018 8:00:00 AM,13.0
4/9/2018 8:10:00 AM,15.0
4/9/2018 8:20:00 AM,14.0
4/9/2018 8:30:00 AM,14.0
4/9/2018 8:40:00 AM,14.0
4/9/2018 8:50:00 AM,11.0
4/9/2018 9:00:00 AM,13.0
4/9/2018 9:10:00 AM,14.0
4/9/2018 9:20:00 AM,14.0
4/9/2018 9:30:00 AM,14.0
4/9/2018 9:40:00 AM,10.0
4/9/2018 9:50:00 AM,10.0
